GEO_ID,NAME,B19013_001E,B19013_001M
1400000US18141003100,Census Tract 31; St. Joseph County; Indiana,43972,12504
1400000US18141003200,Census Tract 32; St. Joseph County; Indiana,81707,4605
1400000US18141003300,Census Tract 33; St. Joseph County; Indiana,61238,6979
1400000US18141003400,Census Tract 34; St. Joseph County; Indiana,39839,13798
1400000US18141003500,Census Tract 35; St. Joseph County; Indiana,56831,7306
1400000US18141010100,Census Tract 101; St. Joseph County; Indiana,36667,18913
1400000US18141010201,Census Tract 102.01; St. Joseph County; Indiana,51384,8946
1400000US18141010202,Census Tract 102.02; St. Joseph County; Indiana,28913,10600
1400000US18141010300,Census Tract 103; St. Joseph County; Indiana,49118,1667
1400000US18141010400,Census Tract 104; St. Joseph County; Indiana,61486,3867
1400000US18141010500,Census Tract 105; St. Joseph County; Indiana,71283,3620
1400000US18141010600,Census Tract 106; St. Joseph County; Indiana,60889,15106
1400000US18141010700,Census Tract 107; St. Joseph County; Indiana,75894,5681
1400000US18141010800,Census Tract 108; St. Joseph County; Indiana,78553,7644
1400000US18141010901,Census Tract 109.01; St. Joseph County; Indiana,77000,19950
1400000US18141010902,Census Tract 109.02; St. Joseph County; Indiana,122827,28174
1400000US18141011001,Census Tract 110.01; St. Joseph County; Indiana,120417,24923
1400000US18141011002,Census Tract 110.02; St. Joseph County; Indiana,78110,8136
1400000US18141011100,Census Tract 111; St. Joseph County; Indiana,49829,6525
1400000US18141011203,Census Tract 112.03; St. Joseph County; Indiana,43000,9344
1400000US18141011303,Census Tract 113.03; St. Joseph County; Indiana,62349,17860
1400000US18141011304,Census Tract 113.04; St. Joseph County; Indiana,125417,12260
1400000US18141011305,Census Tract 113.05; St. Joseph County; Indiana,109706,22112
1400000US18141011306,Census Tract 113.06; St. Joseph County; Indiana,108704,19301
1400000US18141011307,Census Tract 113.07; St. Joseph County; Indiana,75913,3903
1400000US18141011308,Census Tract 113.08; St. Joseph County; Indiana,88998,4233
1400000US18141011309,Census Tract 113.09; St. Joseph County; Indiana,52068,15308
1400000US18141011310,Census Tract 113.10; St. Joseph County; Indiana,63750,15200
1400000US18141011403,Census Tract 114.03; St. Joseph County; Indiana,113864,48036
1400000US18141011404,Census Tract 114.04; St. Joseph County; Indiana,161520,29845
1400000US18141011405,Census Tract 114.05; St. Joseph County; Indiana,137750,28150
1400000US18141011406,Census Tract 114.06; St. Joseph County; Indiana,108348,14633
1400000US18141011501,Census Tract 115.01; St. Joseph County; Indiana,35792,14886
1400000US18141011503,Census Tract 115.03; St. Joseph County; Indiana,92667,16774
1400000US18141011504,Census Tract 115.04; St. Joseph County; Indiana,88750,17160
1400000US18141011505,Census Tract 115.05; St. Joseph County; Indiana,65938,14398
1400000US18141011506,Census Tract 115.06; St. Joseph County; Indiana,41585,11793
1400000US18141011602,Census Tract 116.02; St. Joseph County; Indiana,66885,5990
1400000US18141011603,Census Tract 116.03; St. Joseph County; Indiana,117957,11536
1400000US18141011604,Census Tract 116.04; St. Joseph County; Indiana,112993,27333
1400000US18141011701,Census Tract 117.01; St. Joseph County; Indiana,97955,19805
1400000US18141011703,Census Tract 117.03; St. Joseph County; Indiana,60833,22738
