GEO_ID,NAME,S2301_C04_001E,S2301_C04_001M,Unemployement_Rate,Unemployement_RateUError
1400000US18141010800,Census Tract 108; St. Joseph County; Indiana,4.5,2.5,0.045,0.025
1400000US18141010901,Census Tract 109.01; St. Joseph County; Indiana,0,1.8,0,0.018
1400000US18141010902,Census Tract 109.02; St. Joseph County; Indiana,2.1,1.5,0.021,0.015
1400000US18141011001,Census Tract 110.01; St. Joseph County; Indiana,2.1,2.3,0.021,0.023
1400000US18141011002,Census Tract 110.02; St. Joseph County; Indiana,3.7,2.7,0.037,0.027
1400000US18141011100,Census Tract 111; St. Joseph County; Indiana,5.6,3.1,0.056,0.031
1400000US18141011203,Census Tract 112.03; St. Joseph County; Indiana,2.9,1.4,0.029,0.014
1400000US18141011303,Census Tract 113.03; St. Joseph County; Indiana,7.7,4.8,0.077,0.048
1400000US18141011304,Census Tract 113.04; St. Joseph County; Indiana,3.5,2.3,0.035,0.023
1400000US18141011305,Census Tract 113.05; St. Joseph County; Indiana,8.2,9.5,0.082,0.095
1400000US18141011306,Census Tract 113.06; St. Joseph County; Indiana,5.8,4.1,0.058,0.041
1400000US18141011307,Census Tract 113.07; St. Joseph County; Indiana,9.9,12,0.099,0.12
1400000US18141011308,Census Tract 113.08; St. Joseph County; Indiana,2.5,1.9,0.025,0.019
1400000US18141011309,Census Tract 113.09; St. Joseph County; Indiana,1.2,1.9,0.012,0.019
1400000US18141011310,Census Tract 113.10; St. Joseph County; Indiana,0.6,0.9,0.006,0.009
1400000US18141011403,Census Tract 114.03; St. Joseph County; Indiana,5.4,4.5,0.054,0.045
1400000US18141011404,Census Tract 114.04; St. Joseph County; Indiana,2.8,2.6,0.028,0.026
1400000US18141011405,Census Tract 114.05; St. Joseph County; Indiana,2.7,2,0.027,0.02
1400000US18141011406,Census Tract 114.06; St. Joseph County; Indiana,3.6,2.5,0.036,0.025
1400000US18141011501,Census Tract 115.01; St. Joseph County; Indiana,8.1,7.3,0.081,0.073
1400000US18141011503,Census Tract 115.03; St. Joseph County; Indiana,4.2,3.8,0.042,0.038
1400000US18141011504,Census Tract 115.04; St. Joseph County; Indiana,4.5,3.6,0.045,0.036
1400000US18141011505,Census Tract 115.05; St. Joseph County; Indiana,5.3,4,0.053,0.04
1400000US18141011506,Census Tract 115.06; St. Joseph County; Indiana,1.9,2.2,0.019,0.022
1400000US18141011602,Census Tract 116.02; St. Joseph County; Indiana,2.1,1.3,0.021,0.013
1400000US18141011603,Census Tract 116.03; St. Joseph County; Indiana,1.7,1.4,0.017,0.014
1400000US18141011604,Census Tract 116.04; St. Joseph County; Indiana,1.6,2.5,0.016,0.025
1400000US18141011701,Census Tract 117.01; St. Joseph County; Indiana,12.8,6.4,0.128,0.064
1400000US18141011703,Census Tract 117.03; St. Joseph County; Indiana,3.4,2.6,0.034,0.026
1400000US18141011704,Census Tract 117.04; St. Joseph County; Indiana,3,2.8,0.03,0.028
1400000US18141011801,Census Tract 118.01; St. Joseph County; Indiana,2.4,2.8,0.024,0.028
1400000US18141011803,Census Tract 118.03; St. Joseph County; Indiana,5.8,4.9,0.058,0.049
1400000US18141011804,Census Tract 118.04; St. Joseph County; Indiana,1.1,2,0.011,0.02
1400000US18141011900,Census Tract 119; St. Joseph County; Indiana,0.4,0.8,0.004,0.008
1400000US18141012000,Census Tract 120; St. Joseph County; Indiana,4.6,4.4,0.046,0.044
1400000US18141012100,Census Tract 121; St. Joseph County; Indiana,4.3,2.4,0.043,0.024
1400000US18141012200,Census Tract 122; St. Joseph County; Indiana,2.6,1.6,0.026,0.016
1400000US18141012300,Census Tract 123; St. Joseph County; Indiana,0.6,0.7,0.006,0.007
1400000US18141012400,Census Tract 124; St. Joseph County; Indiana,0,4.9,0,0.049
